text,emotion,error_type,predicted,actual
ligqunywe esitokisini iphoyisa elisolwa ngokubulala,surprise,False Negative,False,True
badidekile kubulawa umhlengikazi ekilinikhi,joy,False Positive,True,False
badidekile kubulawa umhlengikazi ekilinikhi,sadness,False Negative,False,True
badidekile kubulawa umhlengikazi ekilinikhi,surprise,False Positive,True,False
utholwe ehlahlelwe obenyamalele ekhaya,joy,False Positive,True,False
utholwe ehlahlelwe obenyamalele ekhaya,sadness,False Negative,False,True
ijoka kwittm idlulela esigabeni esilandelayo kwinedbank,joy,False Positive,True,False
bacasulwe ukuhlehla kwesigwebo abagilwa,anger,False Negative,False,True
bengithi ngyaqaqa konakalasengoqawqa kahle ksassa,surprise,False Positive,True,False
kulimale abane engozini yemoto emgungundlovu,joy,False Positive,True,False
kulimale abane engozini yemoto emgungundlovu,sadness,False Negative,False,True
livelile iphoyisa elidubule umabhalane oyithwasa,joy,False Positive,True,False
livelile iphoyisa elidubule umabhalane oyithwasa,sadness,False Negative,False,True
livelile iphoyisa elidubule umabhalane oyithwasa,surprise,False Positive,True,False
ianc ijube elizoxazulula izikhalo ekzn,joy,False Positive,True,False
uboshiwe umfundi obulale uthisha,disgust,False Negative,False,True
uboshiwe umfundi obulale uthisha,joy,False Positive,True,False
yaz one minute ngiblomile ngi happy then ku enterishe le feeling yokuth yey nginezinkinga,joy,False Positive,True,False
ungqongqoshe wembulele isizwe ngesivuvu sesithathu,surprise,False Positive,True,False
le mbiza icoba intlzyo ngathi imorning sickness ,disgust,False Negative,False,True
le mbiza icoba intlzyo ngathi imorning sickness ,fear,False Positive,True,False
udonse iso likabaxter ogijima kwimaritzburg,surprise,False Positive,True,False
uthisha usehole ur1m engasebenzi,surprise,False Negative,False,True
sebeyazenyeza ngokuncelisa emphakathini,joy,False Positive,True,False
sebeyazenyeza ngokuncelisa emphakathini,surprise,False Positive,True,False
kushiswe amaloli amabili ngasemphithi,surprise,False Positive,True,False
ushobzin futhi loyamuntu uhleka ngempela laphaya akazenzisi ulushisa ngempela ,joy,False Positive,True,False
ushobzin futhi loyamuntu uhleka ngempela laphaya akazenzisi ulushisa ngempela ,surprise,False Positive,True,False
ubathembisa injabulo abalandeli bamazulu,joy,False Negative,False,True
ubathembisa injabulo abalandeli bamazulu,surprise,False Positive,True,False
kugwetshwe owabulala intombi wayiphonsa esimobeni,joy,False Positive,True,False
kugwetshwe owabulala intombi wayiphonsa esimobeni,sadness,False Negative,False,True
kugwetshwe owabulala intombi wayiphonsa esimobeni,surprise,False Positive,True,False
ubaba ecaleni lokudlwengula ingane 14 yakhulelwa,joy,False Positive,True,False
ubaba ecaleni lokudlwengula ingane 14 yakhulelwa,surprise,False Negative,False,True
ishaye eceleni ieff ithi idla ipulazi,joy,False Positive,True,False
umfana 13 ubopha umnyango,joy,False Positive,True,False
umfana 13 ubopha umnyango,surprise,False Negative,False,True
ufuna ijeze indodakazi esolwa ngokuzibelethisa ethoyilethi,joy,False Positive,True,False
sabelonxele_86  ushaya le encane scefe brutal fruit ayingibhodlisi mina,joy,False Positive,True,False
buka amaphoyisa aqhumise ibhomu elitholwe ewentworth,joy,False Positive,True,False
thuladukama unamanga uyalwa  ushaya u with all due respect ngeyphansi,joy,False Positive,True,False
ulengela eweni umshado wabokholo,joy,False Positive,True,False
liphezulu izinga leranger xl sport futhi iphephile,surprise,False Positive,True,False
izinkunzi zikamaskandi kohlelwa wuprofessor,surprise,False Positive,True,False
kuvalwe ngehlahla kubhubha umndeni engozini,sadness,False Negative,False,True
batholwe befile benamanxeba okudutshulwa,joy,False Positive,True,False
batholwe befile benamanxeba okudutshulwa,sadness,False Negative,False,True
batholwe befile benamanxeba okudutshulwa,surprise,False Positive,True,False
ezothando ngintshontsha umka mfowethu,disgust,False Negative,False,True
ezothando ngintshontsha umka mfowethu,joy,False Positive,True,False
ezothando ngintshontsha umka mfowethu,surprise,False Positive,True,False
luzoxazululwa ngaphambi kukakhisimusi olukameyiwa  cele,surprise,False Positive,True,False
ubulawe abezokuphepha esolwa ngokudakwa,joy,False Positive,True,False
ubulawe abezokuphepha esolwa ngokudakwa,sadness,False Negative,False,True
udube nendawo yokujabula engenatshwala,joy,False Positive,True,False
bakhala ngezulu elibacekele phansi,joy,False Positive,True,False
bakhala ngezulu elibacekele phansi,sadness,False Negative,False,True
bakhala ngezulu elibacekele phansi,surprise,False Positive,True,False
owozalo ukhiphe ingoma yekwaito,joy,False Positive,True,False
owozalo ukhiphe ingoma yekwaito,surprise,False Positive,True,False
akaphumeli obala ngokwamxosha kwibucs,joy,False Positive,True,False
usazoqhinqa ejele umfundisi wabasindisiwe osolwa ngokudlwengula,joy,False Positive,True,False
usazoqhinqa ejele umfundisi wabasindisiwe osolwa ngokudlwengula,surprise,False Negative,False,True
umampintsha uthandazela umsakazi wemetro odivosayo,joy,False Positive,True,False
osaziwayo,joy,False Positive,True,False
osaziwayo,surprise,False Positive,True,False
kuboshwe intombazane 13 ngokugqenywa kwesalukazi 63 ngesando sashona,sadness,False Negative,False,True
kuboshwe intombazane 13 ngokugqenywa kwesalukazi 63 ngesando sashona,surprise,False Positive,True,False
kubonwa ngokusa kubadlali abane abalimale engozini yemoto,joy,False Positive,True,False
kubonwa ngokusa kubadlali abane abalimale engozini yemoto,sadness,False Negative,False,True
ngimubi kakhulu ngeskopelatshwarelo manjena ngeke nisakhava ,surprise,False Positive,True,False
isiguli siklinye esinye esibhedlela sashona,sadness,False Negative,False,True
usolwa ngokuklabha uyise nomzala bafa,joy,False Positive,True,False
usolwa ngokuklabha uyise nomzala bafa,sadness,False Negative,False,True
aphelele kubo amakhaza beshelwa yimijondolo yabo,joy,False Positive,True,False
aphelele kubo amakhaza beshelwa yimijondolo yabo,sadness,False Negative,False,True
aphelele kubo amakhaza beshelwa yimijondolo yabo,surprise,False Positive,True,False
isharks izakhele umsebenzi ibhaxabulwa,surprise,False Positive,True,False
amalungu enfp athuke umholi,joy,False Positive,True,False
kushiswe amabhasi kamasipala emlaza,anger,False Negative,False,True
kushiswe amabhasi kamasipala emlaza,fear,False Negative,False,True
kushiswe amabhasi kamasipala emlaza,sadness,False Negative,False,True
crimestats sinyukile isibalo sokubulawa nokudlwengulwa kwabantu kuleli,fear,False Positive,True,False
crimestats sinyukile isibalo sokubulawa nokudlwengulwa kwabantu kuleli,sadness,False Negative,False,True
crimestats sinyukile isibalo sokubulawa nokudlwengulwa kwabantu kuleli,surprise,False Positive,True,False
ubonga ithuba okwithe queen,joy,False Positive,True,False
isundowns inqobe yahlala esicongweni,joy,False Positive,True,False
isundowns inqobe yahlala esicongweni,surprise,False Positive,True,False
uyanyuka futhi uphethroli kuleli,fear,False Positive,True,False
uyanyuka futhi uphethroli kuleli,surprise,False Positive,True,False
kutholwe izidumbu esezonakele,disgust,False Negative,False,True
kutholwe izidumbu esezonakele,sadness,False Negative,False,True
kutholwe izidumbu esezonakele,surprise,False Positive,True,False
ubabes wodumo ugqigqa kodokotela,joy,False Positive,True,False
ubabes wodumo ugqigqa kodokotela,sadness,False Negative,False,True
ubabes wodumo ugqigqa kodokotela,surprise,False Positive,True,False
unolwazi uyakujabulela ukulingisa kwingane yami,joy,False Negative,False,True
mums greeting this evening  haw usuxakeke ngaleyo ndlela yin mntanam  me wiybo mahyindaba  mum ngibona umuhliphihliphi nje ekhanda hai lungisa boy i just cant with this diva ,surprise,False Positive,True,False
bayalelwe yidlozi emsamo ngomhlonyane wendodana,joy,False Positive,True,False
bakhala ngotsotsi abokufika abaxoshwe emiqashweni,fear,False Positive,True,False
bakhala ngotsotsi abokufika abaxoshwe emiqashweni,sadness,False Positive,True,False
bagxeka ukuhlaselwa kwethempeli,anger,False Negative,False,True
bagxeka ukuhlaselwa kwethempeli,surprise,False Positive,True,False
useyolingisa ehollywood uthuso mbedu,joy,False Positive,True,False
uvuke ethunyiwe namhlanje  okubuhlungu ukuthi amazwi akhe azomukinya  ,joy,False Positive,True,False
ipirates isayinise umgadli wasezambia,surprise,False Positive,True,False
umbono kababes ngami awuthi shu lady zamar,joy,False Positive,True,False
urabada nejoka lendebe yomhlaba,joy,False Positive,True,False
ave ethetha lo baba angaz noma isikhwele okanyeuxakwe ezakhe,joy,False Positive,True,False
abamfuni abathi ubize abafundi ngezimfene,anger,False Negative,False,True
abamfuni abathi ubize abafundi ngezimfene,disgust,False Negative,False,True
umgungundlovu uhamba phambili ngababulawa yicovid19,fear,False Negative,False,True
umgungundlovu uhamba phambili ngababulawa yicovid19,sadness,False Negative,False,True
isidumo kudutshulwa umalume obelayishe abafundi emlaza,joy,False Positive,True,False
isidumo kudutshulwa umalume obelayishe abafundi emlaza,sadness,False Negative,False,True
isililo isoka libulala umfundi maqede lachoma ngakho kufacebook,sadness,False Negative,False,True
umampintsha uphendula izinsolo zokweba ibheshu likangizwe,surprise,False Positive,True,False
usola usomahlaya ngokumthelela ngesandulela ngculazi,joy,False Positive,True,False
usola usomahlaya ngokumthelela ngesandulela ngculazi,sadness,False Negative,False,True
released yesterday 28 jan mmmakudanswa ujuluke la engathi udakwe amadrugs unyakaza kamnandi nom uhlabe unyawo njengayo intokazi lungyk ,joy,False Negative,False,True
ugwetshwe udilikajele odlwengule ingane,anger,False Negative,False,True
ugwetshwe udilikajele odlwengule ingane,sadness,False Negative,False,True
kushone abathathu kugingqika imoto yeyo taxi,joy,False Positive,True,False
kushone abathathu kugingqika imoto yeyo taxi,sadness,False Negative,False,True
izikhulu zafihlela umotsoaledi ulwazi  olubalulekile,joy,False Positive,True,False
izikhulu zafihlela umotsoaledi ulwazi  olubalulekile,surprise,False Positive,True,False
usolwa ngokufunza unina utshani,disgust,False Negative,False,True
usolwa ngokufunza unina utshani,joy,False Positive,True,False
usolwa ngokufunza unina utshani,sadness,False Negative,False,True
usolwa ngokufunza unina utshani,surprise,False Positive,True,False
uda sa ubona besenethuba lokudlala kweyokuhlunga yegladafrica,joy,False Positive,True,False
uda sa ubona besenethuba lokudlala kweyokuhlunga yegladafrica,surprise,False Positive,True,False
kumiswe abathathu kwasabc abafaka uramaphosa ehlazweni,joy,False Positive,True,False
kumiswe abathathu kwasabc abafaka uramaphosa ehlazweni,surprise,False Positive,True,False
usbahle akaphazamisekanga emqondweni,surprise,False Positive,True,False
no akuhlukene nokulobola umfazi lokhu  ,joy,False Positive,True,False
luyaqhubeka olomfundisi osolwa ngokudlwengula,joy,False Positive,True,False
isanef idumele kuhlukunyezwa izintatheli,joy,False Positive,True,False
isanef idumele kuhlukunyezwa izintatheli,sadness,False Negative,False,True
isanef idumele kuhlukunyezwa izintatheli,surprise,False Positive,True,False
kutholwe isidumbu sowesifazane ngaphansi kombhede womfawobo,sadness,False Negative,False,True
basola amaphoyisa ngokubulala indoda,joy,False Positive,True,False
basola amaphoyisa ngokubulala indoda,surprise,False Positive,True,False
nazomagenge2 vele ufe kanye wena bhuti wami,joy,False Positive,True,False
kubhubhe othisha besikole sodumo,joy,False Positive,True,False
kubhubhe othisha besikole sodumo,surprise,False Positive,True,False
impi ngeke ixazulule olomhlaba,joy,False Positive,True,False
impi ngeke ixazulule olomhlaba,surprise,False Positive,True,False
kushone ona13 izingane zishayiswa amaginsa,sadness,False Negative,False,True
uya enkantolo kwelokuxoshwa,joy,False Positive,True,False
uya enkantolo kwelokuxoshwa,surprise,False Positive,True,False
abazali basola othisha abangacopheleli uma bethandana,joy,False Positive,True,False
ubezokwakhela amagidangoma umjikijelwa,joy,False Positive,True,False
kulimale abangu11 engozini yezimoto ezimbili,joy,False Positive,True,False
kulimale abangu11 engozini yezimoto ezimbili,sadness,False Negative,False,True
imindeni ehlwempu ibuyele emakhaya nezijumbane nezibulali magciwane,joy,False Positive,True,False
imindeni ehlwempu ibuyele emakhaya nezijumbane nezibulali magciwane,surprise,False Positive,True,False
i think kunesteleka la ekhaya akusaphekwa  i wonder who the shop steward is,surprise,False Positive,True,False
batheleke ethekwini kwezwakala abemetro,surprise,False Positive,True,False
nashoke ukuthi ngoba sixoxela sihlekela la khona abangazwani nokushidaba  ay bandla ,disgust,False Negative,False,True
nashoke ukuthi ngoba sixoxela sihlekela la khona abangazwani nokushidaba  ay bandla ,joy,False Positive,True,False
nashoke ukuthi ngoba sixoxela sihlekela la khona abangazwani nokushidaba  ay bandla ,surprise,False Positive,True,False
kuklinywe isalukazi esina107 sashona,joy,False Positive,True,False
kuklinywe isalukazi esina107 sashona,sadness,False Negative,False,True
cnehshuga ngiyabonga kakhulu  nami ngikufisela usuku oluhle nokuthi izinhlelo zakho zihambe kahle,surprise,False Positive,True,False
kusuke esinamathambo kubangwa umzila,anger,False Negative,False,True
kusuke esinamathambo kubangwa umzila,fear,False Positive,True,False
isililo kuyise ogaye ingane yakhe ngeloli,sadness,False Negative,False,True
isililo kuyise ogaye ingane yakhe ngeloli,surprise,False Positive,True,False
kushone abathathu kwalimala abawu8 kuginqika iveni,joy,False Positive,True,False
kushone abathathu kwalimala abawu8 kuginqika iveni,sadness,False Negative,False,True
ey ukhlaza kanti vele lo mjita ,joy,False Positive,True,False
ey ukhlaza kanti vele lo mjita ,surprise,False Positive,True,False
owazalwa ukufumbethe akekho ongakuphuca khona talent  but lets pray our talent kulomona esiphila kuwo   durban kwazulunatal ,joy,False Positive,True,False
ubuchwepheshe namathuba okwakha umnotho,surprise,False Positive,True,False
iyaqhubeka impi yamazwi kuramaphosa nolekota,anger,False Negative,False,True
iyaqhubeka impi yamazwi kuramaphosa nolekota,joy,False Positive,True,False
iyaqhubeka impi yamazwi kuramaphosa nolekota,surprise,False Positive,True,False
wake waliwa indoda uthi mubuza athi im going through a lot kodwa uhappy nomunye ngikhuluma ngo i cant do this anymore hehe amadoda angazi afa nini,fear,False Positive,True,False
wake waliwa indoda uthi mubuza athi im going through a lot kodwa uhappy nomunye ngikhuluma ngo i cant do this anymore hehe amadoda angazi afa nini,surprise,False Positive,True,False
isafa nezinhlelo ngazonyukela kwigladafrica,joy,False Positive,True,False
isafa nezinhlelo ngazonyukela kwigladafrica,surprise,False Positive,True,False
kubulawe ngesihluku uthisha obesemncane,joy,False Positive,True,False
kubulawe ngesihluku uthisha obesemncane,sadness,False Negative,False,True
 awukwazi ukuthi kunendoda ebhonga phezukwakho bese uvukuzimali komunyumuntu yey yakhuluma nansinsizwa ,fear,False Positive,True,False
ugwetshwe iminyaka engu101 owaqotha abathathu ethaveni,joy,False Positive,True,False
kodwa wolves sesithi nibabambile labantu,joy,False Positive,True,False
kodwa wolves sesithi nibabambile labantu,surprise,False Positive,True,False
ulindele ukuxoshwa uma ehlulwa wukunqoba,joy,False Positive,True,False
ulindele ukuxoshwa uma ehlulwa wukunqoba,surprise,False Positive,True,False
ipirates isethubeni lokuyinqoba iligi da gama,joy,False Positive,True,False
ipirates isethubeni lokuyinqoba iligi da gama,surprise,False Positive,True,False
indodakazi kahani ikhala ngabaholi ababhubhudla imali,joy,False Positive,True,False
indodakazi kahani ikhala ngabaholi ababhubhudla imali,surprise,False Positive,True,False
ngeke kusize ukuvika ngebhanisi kwababanjwa bephuzile emgwaqeni  nzimande,joy,False Positive,True,False
ngeke kusize ukuvika ngebhanisi kwababanjwa bephuzile emgwaqeni  nzimande,surprise,False Positive,True,False
kufezeke iphupho leminyaka koweopw,surprise,False Positive,True,False
ubona iligi ingadliwa noma yiliphi iqembu,joy,False Positive,True,False
ubona iligi ingadliwa noma yiliphi iqembu,surprise,False Positive,True,False
usafuna ukulilwela ijezi okhuhla ibhentshi kwikaizer chiefs,surprise,False Positive,True,False
kulimale abagibeli kugingqika itekisi,joy,False Positive,True,False
kulimale abagibeli kugingqika itekisi,sadness,False Negative,False,True
amadoda amabili adutshulwe afa emgwaqeni,joy,False Positive,True,False
amadoda amabili adutshulwe afa emgwaqeni,sadness,False Negative,False,True
amadoda amabili adutshulwe afa emgwaqeni,surprise,False Positive,True,False
bexwayisa ngokumosa imali ngoblack friday osomnotho,surprise,False Positive,True,False
athwele kanzima amaphoyisa bakwethu,surprise,False Positive,True,False
indoda ishaywe yafa kade ihlaselwe wumphakathi,sadness,False Negative,False,True
indoda ishaywe yafa kade ihlaselwe wumphakathi,surprise,False Positive,True,False
kusolwa abafundi kudlwengulwa owesifazane,sadness,False Negative,False,True
uzalo seludale amathuba omsebenzi,joy,False Positive,True,False
uzalo seludale amathuba omsebenzi,surprise,False Positive,True,False
bayaveva ngokujola kukathisha nomfundi ecomtech,anger,False Negative,False,True
bayaveva ngokujola kukathisha nomfundi ecomtech,joy,False Positive,True,False
ujezisa abafundi ngokubawashisa izingubo zakhe,joy,False Positive,True,False
ujezisa abafundi ngokubawashisa izingubo zakhe,surprise,False Negative,False,True
ithemba lokubuya nendondo yegolide kumacommonwealth,surprise,False Positive,True,False
imibono sekuyisikhathi sokuthi ipirates ikhohlwe abaqeqeshi bokufika,fear,False Positive,True,False
imibono sekuyisikhathi sokuthi ipirates ikhohlwe abaqeqeshi bokufika,surprise,False Positive,True,False
injabulo emphakathini ucele efeza isithembiso ngamaphoyisa amabharethi,joy,False Negative,False,True
injabulo emphakathini ucele efeza isithembiso ngamaphoyisa amabharethi,surprise,False Positive,True,False
baboshiwe abathenge usana ngor5 000,disgust,False Negative,False,True
baboshiwe abathenge usana ngor5 000,joy,False Positive,True,False
baboshiwe abathenge usana ngor5 000,surprise,False Positive,True,False
umisiwe uthisha osolwa ngokudlwengula umfundi 6,joy,False Positive,True,False
umisiwe uthisha osolwa ngokudlwengula umfundi 6,sadness,False Negative,False,True
basinde engozini yemoto omaskanda,joy,False Positive,True,False
abasho futhi mase bebhorekile  ,surprise,False Positive,True,False
amaciko ethubeni lokuhlomula,joy,False Positive,True,False
amaciko ethubeni lokuhlomula,surprise,False Positive,True,False
imisebenzi engcupheni ngoshukela,surprise,False Positive,True,False
lihlehlile icala elithinta nephoyisa eladuma emarikana,joy,False Positive,True,False
lihlehlile icala elithinta nephoyisa eladuma emarikana,surprise,False Positive,True,False
akakatholakali umshayeli weloli lesiphihli sengozi,joy,False Positive,True,False
akakatholakali umshayeli weloli lesiphihli sengozi,sadness,False Negative,False,True
akakatholakali umshayeli weloli lesiphihli sengozi,surprise,False Positive,True,False
ngibuyekile kwazisholo isidakwa kuwumsombuluko,surprise,False Positive,True,False
ukhale ngabadlali abalimele kudliwa iqembu lakhe,joy,False Positive,True,False
ukhale ngabadlali abalimele kudliwa iqembu lakhe,sadness,False Negative,False,True
lusandizela phezulu ukhozi fm ngabalaleli,joy,False Negative,False,True
lusandizela phezulu ukhozi fm ngabalaleli,surprise,False Positive,True,False
uboshiwe olahle ingane esibhedlela,joy,False Positive,True,False
bebetsheleka imali khona bezophisana ngayo ngoba thina shuthi asiyidingi ,joy,False Positive,True,False
uhlelo oluzohlomulisa izwelibanzi,joy,False Positive,True,False
uhlelo oluzohlomulisa izwelibanzi,surprise,False Positive,True,False
uboshiwe owesilisa odlwengule isidumbu,anger,False Negative,False,True
uboshiwe owesilisa odlwengule isidumbu,disgust,False Negative,False,True
kuhoxe abathathu kwesikabaxter,joy,False Positive,True,False
useqopha kwiscandal owawina indondo kumasafta,surprise,False Positive,True,False
uvume elokuphihliza umnakwabo ngetshe,joy,False Positive,True,False
uvume elokuphihliza umnakwabo ngetshe,surprise,False Negative,False,True
ivatican ijube abaphenyi kolofata,joy,False Positive,True,False
umasipala uxovekile sidinga usizo lwamasosha  zandile gumede,fear,False Negative,False,True
umasipala uxovekile sidinga usizo lwamasosha  zandile gumede,joy,False Positive,True,False
bacikekile kunyamalala umdlali oyintandokazi kwithe queen,anger,False Negative,False,True
bacikekile kunyamalala umdlali oyintandokazi kwithe queen,joy,False Positive,True,False
uvalo ngodlwengula abadala nabancane,fear,False Negative,False,True
uvalo ngodlwengula abadala nabancane,joy,False Positive,True,False
ababenandisa bakhala ngokungakhokhelwa,joy,False Positive,True,False
ababenandisa bakhala ngokungakhokhelwa,sadness,False Negative,False,True
ababenandisa bakhala ngokungakhokhelwa,surprise,False Positive,True,False
ufrosler ufuna baqale umgqigqo omusha kulandela ukushaya ipirates,surprise,False Positive,True,False
injabulo kwidowns ngoricardo,joy,False Negative,False,True
injabulo kwidowns ngoricardo,surprise,False Positive,True,False
kuxoshwe othisha abayisikhombisa ngocansi nabafundi,disgust,False Negative,False,True
kuxoshwe othisha abayisikhombisa ngocansi nabafundi,surprise,False Negative,False,True
icovid19 yehlise isibalo sabantu abaya kodokotela,surprise,False Positive,True,False
udle ushevu namadodana akhe amabili,joy,False Positive,True,False
udle ushevu namadodana akhe amabili,sadness,False Negative,False,True
udle ushevu namadodana akhe amabili,surprise,False Negative,False,True
senyukele ku17 isibalo sabanecoronavirus kuleli,fear,False Negative,False,True
senyukele ku17 isibalo sabanecoronavirus kuleli,surprise,False Positive,True,False
baphuthunyiswe esibhedlela abafundi kusha igumbi lesikole,sadness,False Negative,False,True
kuboshwe abanye kwelokuqola,surprise,False Positive,True,False
osolwa ngokudlwengula nosolwa ngokubulala babulawe wumphakathi,anger,False Negative,False,True
osolwa ngokudlwengula nosolwa ngokubulala babulawe wumphakathi,joy,False Positive,True,False
osolwa ngokudlwengula nosolwa ngokubulala babulawe wumphakathi,sadness,False Negative,False,True
osolwa ngokudlwengula nosolwa ngokubulala babulawe wumphakathi,surprise,False Positive,True,False
khona okade ehleba ngami izolo ngoba kade kuncinza zombili indlebe  ,joy,False Positive,True,False
utholwe eseshonile onyamalale nosana,joy,False Positive,True,False
utholwe eseshonile onyamalale nosana,sadness,False Negative,False,True
zeeright  ngyayisaba ke leyo mina ngivele ngikhale ngokuba broke umuntu meke wakhuluma ngemali,fear,False Negative,False,True
zeeright  ngyayisaba ke leyo mina ngivele ngikhale ngokuba broke umuntu meke wakhuluma ngemali,joy,False Positive,True,False
zeeright  ngyayisaba ke leyo mina ngivele ngikhale ngokuba broke umuntu meke wakhuluma ngemali,surprise,False Positive,True,False
akucaci ngobabes kokatira,joy,False Positive,True,False
injabulo udladla mshunqisi ethula ialbhamu yokuqala,joy,False Negative,False,True
injabulo udladla mshunqisi ethula ialbhamu yokuqala,surprise,False Positive,True,False
ianc ifuna siqhubeke isibonelelo sabangasebenzi,surprise,False Positive,True,False
imininingwane eshaqisayo ngokubulawa kukauyinene mrwetyana,joy,False Positive,True,False
bathi inesifundo ithe gift,joy,False Positive,True,False
amabhokobhoko aqhathwe neall blacks,surprise,False Positive,True,False
amakhosi akhathazwa ukuphambana kwezidumbu,fear,False Positive,True,False
uertugral uyeke ithuba lokuyocija owebafana,joy,False Positive,True,False
uertugral uyeke ithuba lokuyocija owebafana,surprise,False Positive,True,False
iphupho lokudlala phesheya kowebaroka,joy,False Positive,True,False
iphupho lokudlala phesheya kowebaroka,surprise,False Positive,True,False
kusolwa abemijondolo kushiswa ihhovisi lekhansela,anger,False Negative,False,True
kusolwa abemijondolo kushiswa ihhovisi lekhansela,joy,False Positive,True,False
kusolwa abemijondolo kushiswa ihhovisi lekhansela,surprise,False Positive,True,False
ziyezwakala izikhalo zemkmva,surprise,False Positive,True,False
udelazy uyintandokazi kumametro,joy,False Positive,True,False
udelazy uyintandokazi kumametro,surprise,False Positive,True,False
bathwele kanzima abanelimhlophe,joy,False Positive,True,False
bathwele kanzima abanelimhlophe,surprise,False Positive,True,False
udavid dd mabuza uzofungiswa kusasa njengelungu lephalamende,surprise,False Positive,True,False
ubenamanxeba okugwazwa ofele phezu komjondolo,sadness,False Negative,False,True
ubenamanxeba okugwazwa ofele phezu komjondolo,surprise,False Positive,True,False
mbalulafikile eish imphazamile uvutha le izinyele,joy,False Positive,True,False
mbalulafikile eish imphazamile uvutha le izinyele,surprise,False Positive,True,False
usenong uyabuqonda ubunzima abhekene nabo,joy,False Positive,True,False
bakhalelwe ngamasongo kasigonyela sebeqa umngcele,surprise,False Positive,True,False
iyashuba eyobukhosi bakwamaphumulo,fear,False Negative,False,True
iyashuba eyobukhosi bakwamaphumulo,joy,False Positive,True,False
umaskanda ujahwe ngesibhamu eyoqopha,joy,False Positive,True,False
